grower_id,season,avg_daily_dose_method_1,avg_daily_dose_method_2,avg_daily_dose_method_3,avg_daily_dose_method_2_indoor,avg_daily_dose_method_2_outdoor,avg_daily_dose_method_3_indoor,avg_daily_dose_method_3_outdoor,hours_per_month_all_activities,hours_per_month_at_site
1,Fall,0.1565937859608745,0.21360759493670883,0.021230109916273162,0.007405063291139242,0.20620253164556956,0.013380931595684977,0.007849178320588185,1395.0,30145.499999999993
1,Spring,0.161813578826237,0.1643820483314154,0.04113100954043774,0.009417721518987343,0.15496432681242808,0.013140737045582091,0.027990272494855646,4743.0,22654.799999999996
1,Summer,0.16355350978135783,0.2420851553509781,0.09154032436354566,0.007139240506329115,0.23494591484464902,0.009560017459624617,0.08198030690392104,22701.0,34347.6
1,Winter,0.06636593785960875,0.06744131185270426,0.04129759023168015,0.011829113924050633,0.05561219792865362,0.012076074078693022,0.02922151615298713,6942.0,8130.15
2,Fall,0.15847826086956524,0.16329968944099382,0.14680097451274368,0.011529503105590064,0.15177018633540373,0.01196682908545727,0.1348341454272864,17010.0,18792.0
2,Spring,0.19105434782608693,0.2827907608695652,0.401969626793746,0.00833967391304348,0.27445108695652176,0.00839445009638038,0.39357517669736564,33759.0,33982.2
2,Summer,0.1931086956521739,0.3530747282608696,0.2601267714357107,0.006322010869565218,0.3467527173913044,0.008081008602841437,0.25204576283286934,35767.0,42934.49999999999
2,Winter,0.13059782608695653,0.13723136645962736,0.2281427188191619,0.012161490683229813,0.12506987577639753,0.010348624794745487,0.21779409402441638,22873.0,15486.0
5,Fall,0.1841407307171853,0.12294316644113666,0.06602211749335075,0.012726657645466847,0.11021650879566981,0.014623942619836416,0.051398174873514335,5940.0,13702.499999999998
5,Spring,0.19027875507442482,0.060783491204330166,0.07941878587093464,0.015227334235453312,0.045556156968876854,0.014338561629681966,0.06508022424125266,9300.0,5663.699999999999
5,Summer,0.19232476319350467,0.08376048714479024,0.11173620767424136,0.014691474966170499,0.06906901217861974,0.014389351429060261,0.0973468562451811,9823.0,8586.9
5,Winter,0.1820947225981055,0.03703315290933694,0.016905710686122236,0.015234776725304464,0.021798376184032475,0.015831899051440834,0.0010738116346814025,267.0,2710.0499999999997
6,Fall,0.02863033873343151,0.04075846833578792,0.034494656732227194,0.016767304860088362,0.023991163475699556,0.01716113960692702,0.017333517125300173,1260.0,2740.4999999999995
6,Spring,0.20709278350515462,0.16230486008836523,0.23698243577559003,0.013559646539027982,0.14874521354933723,0.014108860465622436,0.2228735753099676,14926.5,16991.1
6,Summer,0.029902798232695135,0.046040816326530606,0.05515914207844531,0.017403745003155897,0.02863707132337471,0.017511268140388038,0.03764787393805727,2867.0,3271.2
6,Winter,0.014156111929307803,0.020588154849568694,0.017301914580265094,0.017198926993477803,0.0033892278560908894,0.017301914580265094,0.0,0.0,387.15
7,Fall,0.13284738041002278,0.19856817442238855,0.20895642806647444,0.007731858119101855,0.1908363163032867,0.00788368100362445,0.20107274706284997,27450.0,28188.0
7,Spring,0.1601548974943052,0.23705466970387243,0.2570331586565975,0.006990888382687927,0.23006378132118452,0.0064437088322093425,0.25058944982438813,36642.0,33982.2
7,Summer,0.16187699316628698,0.20202505694760822,0.31981116958604977,0.008243735763097951,0.19378132118451027,0.006706374765757376,0.3131047948202924,36096.0,28622.999999999996
7,Winter,0.1532665148063781,0.07564493166287016,0.04206270408564023,0.011429100227790433,0.06421583143507972,0.012538183885603574,0.02952452020003666,4094.0,9485.175
8,Fall,0.1938461538461538,0.12942307692307692,0.03249084249084249,0.013397435897435899,0.11602564102564102,0.015915750915750912,0.016575091575091575,3915.0,13702.499999999998
8,Spring,0.20030769230769227,0.24998717948717947,0.1108802646906095,0.010200854700854701,0.23978632478632475,0.01520197746059815,0.09567828723001137,8881.5,28318.499999999996
8,Summer,0.20246153846153842,0.22917521367521362,0.07709390481804274,0.011047008547008547,0.21812820512820508,0.014293994638822222,0.06279991017922051,13141.2,25760.699999999997
8,Winter,0.19169230769230763,0.08348504273504274,0.018504558872374965,0.014643162393162393,0.06884188034188035,0.016620544632038884,0.0018840142403360794,445.0,8130.15
9,Fall,0.023142857142857142,0.024887755102040814,0.01798082336382829,0.013806122448979592,0.011081632653061222,0.014079961294862772,0.0039008620689655166,292.5,1565.9999999999998
9,Spring,0.04782857142857143,0.05902653061224489,0.026120208773164438,0.013222448979591838,0.04580408163265305,0.014274325592305886,0.011845883180858552,1581.0,6472.799999999999
9,Summer,0.14502857142857142,0.0400219387755102,0.02740894909688013,0.013980102040816325,0.026041836734693877,0.014437919305653297,0.012971029791226836,1551.0,3680.1
9,Winter,0.022885714285714287,0.02726760204081633,0.013985714285714285,0.013569472789115649,0.013698129251700683,0.013985714285714285,0.0,0.0,1935.75
10,Fall,0.09207036535859266,0.026762516914749658,0.036458468040288766,0.015740866035182675,0.011021650879566981,0.01528386782831279,0.021174600211975977,3240.0,1370.2499999999998
10,Spring,0.10873071718538564,0.03554243185772279,0.03647831912383263,0.016018364585346993,0.019524067272375798,0.015906983875160815,0.02057133524867182,2883.0,2427.2999999999997
10,Summer,0.13737483085250338,0.04868084283781171,0.02930807175186812,0.015790837038468973,0.032890005799342745,0.016549017777985158,0.01275905397388296,987.0,4089.0
10,Winter,0.026013531799729362,0.018916586120239706,0.01813673783637854,0.01580253237966364,0.003114053740576068,0.015810145961235502,0.0023265918751430394,356.0,387.15
11,Fall,0.08307692307692308,0.06513736263736264,0.021217632941770873,0.015412087912087912,0.04972527472527473,0.0166451938865732,0.004572439055197675,1080.0,5872.5
11,Spring,0.20030769230769227,0.0872371794871795,0.06690236200581029,0.015301282051282051,0.07193589743589746,0.01571644702679185,0.051185914979018435,6882.0,8495.55
11,Summer,0.20246153846153842,0.13517521367521368,0.053329946341440594,0.013992877492877495,0.12118233618233618,0.015522649338741293,0.0378072970026993,8366.0,14311.499999999998
11,Winter,0.08215384615384615,0.050110042735042735,0.016735042735042734,0.015689102564102567,0.034420940170940176,0.016735042735042734,0.0,0.0,4065.075
12,Fall,0.16199999999999995,0.08935714285714284,0.0502136992703202,0.011785714285714287,0.07757142857142857,0.013168777856131247,0.037044921414188955,4529.99999925,10961.999999999998
12,Spring,0.16739999999999997,0.14091160714285714,0.249781245601689,0.010656249999999999,0.13025535714285713,0.008914954257565095,0.2408662913441239,26505.0,18407.024999999998
12,Summer,0.16919999999999996,0.2111642857142857,0.1498031746031746,0.008616666666666668,0.20254761904761903,0.011112932989287668,0.13869024161388693,17014.0,28622.999999999996
12,Winter,0.16019999999999995,0.023283035714285714,0.04390812807881774,0.013694345238095238,0.009588690476190476,0.013047974822112755,0.03086015325670499,4361.0,1355.0249999999999
13,Fall,0.023142857142857142,0.01682908163265306,0.014762607668096414,0.014058673469387755,0.0027704081632653056,0.014115118486981002,0.0006474891811154117,128.99988000000002,391.49999999999994
13,Spring,0.04782857142857143,0.02016581632653061,0.01930782606145907,0.014440306122448978,0.005725510204081631,0.014454304480412858,0.0048535215810462115,744.0,809.0999999999999
13,Summer,0.060428571428571436,0.021785459183673472,0.038464184064430376,0.014551615646258505,0.007233843537414968,0.013277104933927596,0.025187079130502783,6949.420000000001,1022.25
13,Winter,0.0,0.013985714285714285,0.013985714285714285,0.013985714285714285,0.0,0.013985714285714285,0.0,0.0,0.0
14,Fall,0.13206521739130436,0.13877329192546586,0.025694005675733562,0.012298136645962732,0.12647515527950312,0.015699560933818805,0.009994444741914759,1800.0,15660.0
14,Spring,0.19105434782608693,0.21626290760869563,0.0801968970871707,0.010424592391304348,0.2058383152173913,0.014100302527307772,0.06609659455986293,10509.0,25486.649999999994
14,Summer,0.1655217391304348,0.18976979813664596,0.03298380274148641,0.011439829192546587,0.1783299689440994,0.016281975083886627,0.016701827657599776,2350.0,22080.6
14,Winter,0.13059782608695653,0.13723136645962736,0.01613073374027272,0.012161490683229813,0.12506987577639753,0.01595103564289284,0.00017969809737988153,44.5,15486.0
15,Fall,0.11185270425776754,0.11753411145816212,0.09809610729732947,0.010415913200723326,0.10711819825743879,0.010677807569994388,0.08741829972733507,14400.0,15660.0
15,Spring,0.161813578826237,0.22072784810126578,0.11177622203200553,0.007651898734177216,0.21307594936708857,0.011265698073205712,0.10051052395879981,13764.0,31150.349999999995
15,Summer,0.11682393555811277,0.12953781029097486,0.01427848101265823,0.01066636528028933,0.11887144501068553,0.01427848101265823,0.0,0.0,17378.25
15,Winter,0.088487917146145,0.09568633897747822,0.013518987341772152,0.01094394213381555,0.08474239684366267,0.013518987341772152,0.0,0.0,12388.8
16,Fall,0.11076923076923077,0.08120879120879122,0.05996442255062944,0.014908424908424906,0.06630036630036631,0.015383141762452108,0.04458128078817734,5985.0,7830.0
16,Spring,0.1716923076923077,0.206808608058608,0.15157339340097964,0.011554029304029304,0.19525457875457874,0.013371422957629853,0.13820197044334978,15996.0,23059.35
16,Summer,0.17353846153846153,0.21910378510378511,0.14944996935801533,0.011362637362637363,0.20774114774114777,0.01254775705350418,0.13690221230451116,19928.0,24534.0
16,Winter,0.05476923076923077,0.029449328449328446,0.02625712062977465,0.016336589336589335,0.013112739112739111,0.016460247333632733,0.009796873296141918,1067.999822,1548.6
17,Fall,0.05726067746686302,0.027465811066694715,0.025276159521753945,0.01718388386282348,0.01028192720387124,0.017298802208405576,0.007977357313348372,742.5,1174.5
17,Spring,0.14792341678939616,0.05241889333052808,0.11144139817320457,0.01700336629497159,0.03541552703555649,0.015778767674862335,0.09566263049834224,8649.0,4045.5
17,Summer,0.1495139911634757,0.05298253734483484,0.07387907939571137,0.01718619819061645,0.03579633915421839,0.01709867935798564,0.05678040003772573,4418.0,4089.0
17,Winter,0.028312223858615607,0.018945034714916896,0.018234398843077933,0.017250420786871452,0.0016946139280454447,0.017260482792477102,0.0009739160506008301,155.75,193.575
21,Fall,0.1565937859608745,0.12272727272727271,0.12395052350530307,0.010253164556962025,0.1124741081703107,0.010060485128141172,0.1138900383771619,17370.0,16443.0
21,Spring,0.161813578826237,0.1268181818181818,0.27504431796924156,0.01059493670886076,0.11622324510932106,0.008182515433061045,0.2668618025361805,28597.5,16991.1
21,Summer,0.16355350978135783,0.1471657077100115,0.15442564070586767,0.010113924050632913,0.1370517836593786,0.011201222173723265,0.1432244185321444,14805.0,20036.1
21,Winter,0.0442439585730725,0.0417640144665461,0.037977880696344245,0.01263381555153707,0.029130198915009033,0.012409054062480511,0.02556882663386373,5340.0,4258.65
23,Fall,0.02674002751031637,0.028756140695617997,0.021870294956667865,0.015952053448614657,0.01280408724700334,0.015983358291378973,0.005886936665288892,1440.0,1565.9999999999998
23,Spring,0.19341953232462167,0.1291382393397524,0.1032642955393987,0.013367950481430538,0.11577028885832187,0.01429796518522032,0.08896633035417838,10416.0,14159.249999999998
23,Summer,0.16757083906464923,0.09486814698369031,0.08978452962553897,0.014629200235802711,0.08023894674788759,0.014848731656965779,0.07493579796857319,8930.0,9813.599999999999
23,Winter,0.026442916093535076,0.02843662802122224,0.03604843441906478,0.015774808410296718,0.012661819610925525,0.015673092516426006,0.020375341902638774,1958.0,1548.6
25,Fall,0.11970443349753694,0.12578465869106265,0.06742301439006042,0.011147079521463757,0.11463757916959888,0.013068989783785097,0.054354024606275315,7020.0,15660.0
25,Spring,0.16080295566502462,0.16443525686136523,0.20489063675410712,0.010438775510204081,0.15399648135116115,0.005757255696571137,0.19913338105753597,42082.5,21036.6
25,Summer,0.17503448275862066,0.21844581280788175,0.04307164292589806,0.008913793103448276,0.2095320197044335,0.013482556399492019,0.029589086526406048,8084.0,28622.999999999996
25,Winter,0.09469950738916257,0.10240323715693173,0.04311219838708373,0.011712174524982407,0.09069106263194932,0.01346820880551983,0.029643989581563897,4494.5,12388.8
26,Fall,0.15498861047835988,0.15744874715261958,0.02878878328489514,0.009020501138952164,0.14842824601366744,0.01264203238439355,0.01614675090050159,4320.0,21923.999999999996
26,Spring,0.1601548974943052,0.2184652619589977,0.1547996341887631,0.007573462414578587,0.2108917995444191,0.00951441924660839,0.1452852149421547,21715.5,31150.349999999995
26,Summer,0.16187699316628698,0.2208143507972665,0.1363483622653366,0.007654897494305239,0.21315945330296127,0.010660970035646023,0.12568739222969055,16873.0,31485.299999999992
26,Winter,0.0,0.013380410022779043,0.021665906714470867,0.013380410022779043,0.0,0.013029482467392493,0.008636424247078374,1705.83332473,0.0
27,Fall,0.1938461538461538,0.08442307692307693,0.03362412808302808,0.014807692307692308,0.06961538461538463,0.015842420671550672,0.01778170741147741,4199.999994,8221.5
27,Spring,0.20030769230769227,0.2732371794871794,0.13821241210896384,0.009472222222222222,0.2637649572649572,0.014185002736726874,0.12402740937223697,12834.0,31150.349999999995
27,Summer,0.20246153846153842,0.2996752136752137,0.08713334175403141,0.008837606837606838,0.2908376068376069,0.015498463222601155,0.07163487853143026,8460.0,34347.6
27,Winter,0.19169230769230763,0.12798504273504274,0.01708894596250918,0.013248575498575499,0.11473646723646723,0.01671214311444197,0.0003768028480672159,89.0,13550.249999999998
28,Fall,0.12461538461538459,0.13263736263736264,0.12981726369416025,0.013296703296703294,0.11934065934065935,0.013982148583217549,0.1158351151109427,11429.9982,14094.0
28,Spring,0.20030769230769227,0.24998717948717947,0.20013692756796203,0.010200854700854701,0.23978632478632475,0.013209903442662062,0.1869270241253,16623.75,28318.499999999996
28,Summer,0.20246153846153842,0.2526752136752137,0.12412270828362783,0.010310541310541311,0.24236467236467235,0.014083575428403014,0.11003913285522482,13959.0,28622.999999999996
28,Winter,0.05476923076923077,0.04216361416361416,0.027509314224165995,0.015938135938135936,0.026225478225478223,0.016111028073900746,0.011398286150265252,2425.24999911,3097.2
30,Fall,0.044282460136674265,0.023810608525870483,0.050511911307606856,0.01320859095346567,0.010602017572404815,0.012734607313980495,0.03777730399362636,3870.0,1565.9999999999998
30,Spring,0.1601548974943052,0.10692881548974945,0.08579170079782758,0.011068906605922552,0.09585990888382688,0.012125958010256179,0.0736657427875714,9021.0,14159.249999999998
30,Summer,0.16187699316628698,0.07050000000000001,0.051433998750706006,0.012365603644646925,0.05813439635535308,0.012614095327864866,0.03881990342284114,7379.0,8586.9
30,Winter,0.021895216400911164,0.018463228115847705,0.013380410022779043,0.013221119427269768,0.0052421086885779365,0.013380410022779043,0.0,0.0,774.3
